,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,Team,Total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,Team_opp,Total_opp,home_opp,season,date,won
10,240.0,240.0,40.0,88.0,0.455,11.0,33.0,0.333,15.0,22.0,0.682,12.0,29.0,41.0,21.0,13.0,3.0,24.0,25.0,106.0,,0.543,0.517,0.375,0.25,26.7,69.0,47.1,52.5,12.4,6.1,19.7,100.0,101.1,118.3,,,6.0,15.0,0.75,3.0,7.0,1.0,5.0,5.0,1.0,3.0,7.0,9.0,4.0,3.0,2.0,9.0,6.0,16.0,18.0,0.938,0.938,0.75,1.25,17.2,26.8,17.8,21.6,10.9,23.4,42.9,34.9,154.0,130.0,HOU,106,0,1,240.0,240.0,42.0,87.0,0.483,16.0,38.0,0.421,24.0,31.0,0.774,13.0,33.0,46.0,26.0,18.0,12.0,18.0,22.0,124.0,,0.616,0.575,0.437,0.356,31.0,73.3,52.9,61.9,17.2,21.8,15.2,100.0,118.3,101.1,,,11.0,21.0,1.0,6.0,12.0,1.0,6.0,8.0,1.0,5.0,5.0,10.0,7.0,4.0,3.0,4.0,3.0,30.0,34.0,1.5,1.5,1.0,2.0,20.6,28.6,20.7,44.9,7.2,14.1,50.0,36.9,247.0,115.0,MIN,124,1,2022,2021-10-20,False
11,240.0,240.0,42.0,87.0,0.483,16.0,38.0,0.421,24.0,31.0,0.774,13.0,33.0,46.0,26.0,18.0,12.0,18.0,22.0,124.0,,0.616,0.575,0.437,0.356,31.0,73.3,52.9,61.9,17.2,21.8,15.2,100.0,118.3,101.1,,,11.0,21.0,1.0,6.0,12.0,1.0,6.0,8.0,1.0,5.0,5.0,10.0,7.0,4.0,3.0,4.0,3.0,30.0,34.0,1.5,1.5,1.0,2.0,20.6,28.6,20.7,44.9,7.2,14.1,50.0,36.9,247.0,115.0,MIN,124,1,0,240.0,240.0,40.0,88.0,0.455,11.0,33.0,0.333,15.0,22.0,0.682,12.0,29.0,41.0,21.0,13.0,3.0,24.0,25.0,106.0,,0.543,0.517,0.375,0.25,26.7,69.0,47.1,52.5,12.4,6.1,19.7,100.0,101.1,118.3,,,6.0,15.0,0.75,3.0,7.0,1.0,5.0,5.0,1.0,3.0,7.0,9.0,4.0,3.0,2.0,9.0,6.0,16.0,18.0,0.938,0.938,0.75,1.25,17.2,26.8,17.8,21.6,10.9,23.4,42.9,34.9,154.0,130.0,HOU,106,0,2022,2021-10-20,True
12,240.0,240.0,37.0,90.0,0.411,16.0,42.0,0.381,20.0,23.0,0.87,13.0,38.0,51.0,16.0,14.0,3.0,17.0,17.0,110.0,,0.549,0.5,0.467,0.256,26.5,70.4,49.5,43.2,13.7,4.8,14.5,100.0,107.6,98.8,,,9.0,25.0,1.0,6.0,14.0,0.667,9.0,10.0,1.0,6.0,14.0,20.0,4.0,4.0,1.0,5.0,4.0,27.0,18.0,1.0,1.0,1.0,1.429,18.6,38.6,28.9,42.9,5.8,5.2,26.0,35.6,215.0,112.0,UTA,110,0,1,240.0,240.0,39.0,99.0,0.394,8.0,36.0,0.222,15.0,21.0,0.714,16.0,36.0,52.0,20.0,15.0,5.0,15.0,22.0,101.0,,0.467,0.434,0.364,0.212,29.6,73.5,50.5,51.3,14.7,10.4,12.2,100.0,98.8,107.6,,,9.0,21.0,0.6,6.0,15.0,0.4,6.0,8.0,1.0,5.0,10.0,15.0,6.0,5.0,3.0,4.0,6.0,25.0,7.0,0.725,0.6,0.714,4.0,41.7,38.5,26.1,28.0,6.7,16.8,33.3,37.4,163.0,122.0,SAC,101,1,2022,2021-10-22,True
13,240.0,240.0,39.0,99.0,0.394,8.0,36.0,0.222,15.0,21.0,0.714,16.0,36.0,52.0,20.0,15.0,5.0,15.0,22.0,101.0,,0.467,0.434,0.364,0.212,29.6,73.5,50.5,51.3,14.7,10.4,12.2,100.0,98.8,107.6,,,9.0,21.0,0.6,6.0,15.0,0.4,6.0,8.0,1.0,5.0,10.0,15.0,6.0,5.0,3.0,4.0,6.0,25.0,7.0,0.725,0.6,0.714,4.0,41.7,38.5,26.1,28.0,6.7,16.8,33.3,37.4,163.0,122.0,SAC,101,1,0,240.0,240.0,37.0,90.0,0.411,16.0,42.0,0.381,20.0,23.0,0.87,13.0,38.0,51.0,16.0,14.0,3.0,17.0,17.0,110.0,,0.549,0.5,0.467,0.256,26.5,70.4,49.5,43.2,13.7,4.8,14.5,100.0,107.6,98.8,,,9.0,25.0,1.0,6.0,14.0,0.667,9.0,10.0,1.0,6.0,14.0,20.0,4.0,4.0,1.0,5.0,4.0,27.0,18.0,1.0,1.0,1.0,1.429,18.6,38.6,28.9,42.9,5.8,5.2,26.0,35.6,215.0,112.0,UTA,110,0,2022,2021-10-22,False
14,240.0,240.0,47.0,93.0,0.505,14.0,38.0,0.368,13.0,18.0,0.722,7.0,29.0,36.0,38.0,6.0,5.0,10.0,17.0,121.0,,0.599,0.581,0.409,0.194,14.9,69.0,40.4,80.9,5.9,7.5,9.0,100.0,119.7,130.6,,,11.0,15.0,1.0,3.0,10.0,1.0,3.0,4.0,1.0,2.0,9.0,9.0,12.0,3.0,3.0,2.0,4.0,25.0,8.0,1.025,1.083,0.7,0.5,6.5,26.9,15.4,48.9,4.9,7.4,21.5,23.6,177.0,139.0,CLE,121,0,1,240.0,240.0,53.0,100.0,0.53,14.0,33.0,0.424,12.0,12.0,1.0,13.0,40.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,,0.627,0.6,0.33,0.12,31.0,85.1,59.6,52.8,7.9,14.5,8.7,100.0,130.6,119.7,,,17.0,29.0,1.0,4.0,8.0,1.0,4.0,4.0,1.0,6.0,8.0,14.0,6.0,2.0,4.0,3.0,4.0,37.0,17.0,1.0,1.0,0.714,0.333,21.6,32.7,23.8,42.0,4.4,11.3,33.3,39.5,207.0,127.0,MEM,132,1,2022,2021-10-20,False
15,240.0,240.0,53.0,100.0,0.53,14.0,33.0,0.424,12.0,12.0,1.0,13.0,40.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,,0.627,0.6,0.33,0.12,31.0,85.1,59.6,52.8,7.9,14.5,8.7,100.0,130.6,119.7,,,17.0,29.0,1.0,4.0,8.0,1.0,4.0,4.0,1.0,6.0,8.0,14.0,6.0,2.0,4.0,3.0,4.0,37.0,17.0,1.0,1.0,0.714,0.333,21.6,32.7,23.8,42.0,4.4,11.3,33.3,39.5,207.0,127.0,MEM,132,1,0,240.0,240.0,47.0,93.0,0.505,14.0,38.0,0.368,13.0,18.0,0.722,7.0,29.0,36.0,38.0,6.0,5.0,10.0,17.0,121.0,,0.599,0.581,0.409,0.194,14.9,69.0,40.4,80.9,5.9,7.5,9.0,100.0,119.7,130.6,,,11.0,15.0,1.0,3.0,10.0,1.0,3.0,4.0,1.0,2.0,9.0,9.0,12.0,3.0,3.0,2.0,4.0,25.0,8.0,1.025,1.083,0.7,0.5,6.5,26.9,15.4,48.9,4.9,7.4,21.5,23.6,177.0,139.0,CLE,121,0,2022,2021-10-20,True
16,240.0,240.0,36.0,81.0,0.444,5.0,27.0,0.185,21.0,26.0,0.808,7.0,44.0,51.0,20.0,14.0,8.0,21.0,17.0,98.0,,0.53,0.475,0.333,0.321,16.7,69.8,48.6,55.6,13.5,12.7,18.5,100.0,94.4,80.0,,,9.0,19.0,1.0,2.0,9.0,1.0,8.0,8.0,1.0,3.0,15.0,15.0,6.0,4.0,4.0,5.0,3.0,23.0,24.0,1.031,1.167,1.0,1.0,13.2,33.0,19.8,38.4,8.1,13.8,42.9,32.9,164.0,96.0,WAS,98,0,1,240.0,240.0,30.0,97.0,0.309,7.0,34.0,0.206,16.0,22.0,0.727,19.0,35.0,54.0,14.0,10.0,4.0,19.0,21.0,83.0,,0.389,0.345,0.351,0.227,30.2,83.3,51.4,46.7,9.6,7.4,15.1,100.0,80.0,94.4,,,5.0,20.0,0.75,2.0,9.0,1.0,5.0,6.0,1.0,6.0,6.0,10.0,4.0,3.0,2.0,6.0,5.0,12.0,8.0,0.875,0.875,0.6,1.5,17.6,36.8,17.3,38.0,5.2,10.2,29.5,25.8,179.0,100.0,TOR,83,1,2022,2021-10-20,True
17,240.0,240.0,30.0,97.0,0.309,7.0,34.0,0.206,16.0,22.0,0.727,19.0,35.0,54.0,14.0,10.0,4.0,19.0,21.0,83.0,,0.389,0.345,0.351,0.227,30.2,83.3,51.4,46.7,9.6,7.4,15.1,100.0,80.0,94.4,,,5.0,20.0,0.75,2.0,9.0,1.0,5.0,6.0,1.0,6.0,6.0,10.0,4.0,3.0,2.0,6.0,5.0,12.0,8.0,0.875,0.875,0.6,1.5,17.6,36.8,17.3,38.0,5.2,10.2,29.5,25.8,179.0,100.0,TOR,83,1,0,240.0,240.0,36.0,81.0,0.444,5.0,27.0,0.185,21.0,26.0,0.808,7.0,44.0,51.0,20.0,14.0,8.0,21.0,17.0,98.0,,0.53,0.475,0.333,0.321,16.7,69.8,48.6,55.6,13.5,12.7,18.5,100.0,94.4,80.0,,,9.0,19.0,1.0,2.0,9.0,1.0,8.0,8.0,1.0,3.0,15.0,15.0,6.0,4.0,4.0,5.0,3.0,23.0,24.0,1.031,1.167,1.0,1.0,13.2,33.0,19.8,38.4,8.1,13.8,42.9,32.9,164.0,96.0,WAS,98,0,2022,2021-10-20,False
18,240.0,240.0,35.0,86.0,0.407,9.0,29.0,0.31,18.0,23.0,0.783,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,97.0,,0.505,0.459,0.337,0.267,30.2,70.5,50.6,48.6,6.2,8.8,14.3,100.0,100.8,127.9,,,6.0,14.0,0.75,3.0,7.0,1.0,4.0,4.0,1.0,3.0,7.0,8.0,4.0,1.0,4.0,3.0,5.0,18.0,3.0,0.922,0.938,0.6,0.8,25.5,40.7,23.5,28.8,2.7,10.4,33.3,25.9,149.0,136.0,ORL,97,0,1,240.0,240.0,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,,0.581,0.566,0.306,0.184,29.5,69.8,49.4,65.3,8.3,5.3,7.0,100.0,127.9,100.8,,,8.0,17.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,8.0,6.0,13.0,8.0,4.0,1.0,3.0,4.0,19.0,26.0,1.5,1.5,1.0,2.0,29.3,32.4,24.1,31.3,6.5,19.1,33.3,29.6,300.0,112.0,SAS,123,1,2022,2021-10-20,False
19,240.0,240.0,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,,0.581,0.566,0.306,0.184,29.5,69.8,49.4,65.3,8.3,5.3,7.0,100.0,127.9,100.8,,,8.0,17.0,1.0,3.0,9.0,1.0,3.0,6.0,1.0,8.0,6.0,13.0,8.0,4.0,1.0,3.0,4.0,19.0,26.0,1.5,1.5,1.0,2.0,29.3,32.4,24.1,31.3,6.5,19.1,33.3,29.6,300.0,112.0,SAS,123,1,0,240.0,240.0,35.0,86.0,0.407,9.0,29.0,0.31,18.0,23.0,0.783,13.0,31.0,44.0,17.0,6.0,6.0,16.0,20.0,97.0,,0.505,0.459,0.337,0.267,30.2,70.5,50.6,48.6,6.2,8.8,14.3,100.0,100.8,127.9,,,6.0,14.0,0.75,3.0,7.0,1.0,4.0,4.0,1.0,3.0,7.0,8.0,4.0,1.0,4.0,3.0,5.0,18.0,3.0,0.922,0.938,0.6,0.8,25.5,40.7,23.5,28.8,2.7,10.4,33.3,25.9,149.0,136.0,ORL,97,0,2022,2021-10-20,True
20,240.0,240.0,42.0,96.0,0.438,14.0,40.0,0.35,15.0,21.0,0.714,8.0,31.0,39.0,24.0,9.0,2.0,7.0,25.0,113.0,,0.537,0.51,0.417,0.219,15.7,75.6,42.4,57.1,8.8,3.8,6.2,100.0,110.4,112.4,,,12.0,23.0,0.625,5.0,11.0,0.5,6.0,10.0,1.0,2.0,10.0,11.0,6.0,3.0,1.0,3.0,4.0,29.0,19.0,0.652,0.656,0.714,1.667,13.9,34.6,23.2,30.0,4.7,3.7,33.3,30.4,145.0,119.0,LAC,113,0,1,240.0,240.0,43.0,83.0,0.518,15.0,31.0,0.484,14.0,22.0,0.636,10.0,43.0,53.0,27.0,5.0,4.0,21.0,20.0,115.0,,0.62,0.608,0.373,0.265,24.4,84.3,57.6,62.8,4.9,7.1,18.5,100.0,112.4,110.4,,,16.0,25.0,1.0,8.0,13.0,0.667,5.0,9.0,1.0,4.0,10.0,10.0,7.0,1.0,1.0,7.0,4.0,45.0,13.0,1.0,1.0,0.667,1.8,33.2,30.9,25.9,60.3,2.0,6.1,40.0,37.3,235.0,118.0,GSW,115,1,2022,2021-10-21,False
